NO,COUNTRY,PRIORITY TIER,PILLAR,COMPANY NAME,SPECIALIZATION,CITY / REGION,CERTIFICATIONS & APPROVALS,REFERENCE SOURCE,WEBSITE,CONTACT STATUS,NOTES
1,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Al-Rushaid Group — Valve Division,API Valves — Local Manufacturing,Jubail,API 6D | Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,Major Saudi industrial group
2,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Gulf Industries Corp (GIC),Industrial Manufacturing — SABIC JV,Jubail,SABIC Approved | ISO 9001,SABIC / RCJY,gic.com.sa,Not Contacted,SABIC joint venture
3,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Saudi Specialized Products Co. (SSPC),Valves & Industrial Equipment,Jubail,MODON Licensed | ISO 9001,MODON / RCJY,,Not Contacted,
4,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Huta-Hegerfeld Saudi Arabia,Industrial Valves — German-Saudi JV,Jubail,RCJY Registered | API,RCJY,,Not Contacted,German-Saudi joint venture
5,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,ZAMIL Industrial,Full Industrial Group,Dammam,MODON | ISO 9001,MODON,zamilindustrial.com,Not Contacted,Publicly listed company
6,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Al-Fanar Group — Industrial,Industrial Equipment & Distribution,Riyadh,Chamber of Commerce,Riyadh Chamber,alfanar.com,Not Contacted,Large Saudi conglomerate
7,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Arabian Pipes Company,Industrial Pipes & Fittings,Jubail,RCJY | API,RCJY,arabian-pipes.com,Not Contacted,
8,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,National Industrialization Co. (Tasnee),Diversified Industrial Manufacturing,Riyadh,Tadawul Listed | ISO,Tadawul,tasnee.com,Not Contacted,Publicly listed
9,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Aldrees Industrial,Industrial Equipment Distribution,Riyadh,ISO 9001,Riyadh Chamber,aldrees.com,Not Contacted,
10,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Al-Rushaid Petroleum Investment Co.,Petroleum & Industrial Spare Parts,Jubail,Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,
11,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Saudi Industrial Services Co. (SISCO),Industrial Services & Spare Parts,Jeddah,MODON Licensed,MODON,sisco.com.sa,Not Contacted,
12,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Gulf Supplies & Commercial Services,Industrial Spare Parts & Equipment,Dammam,Eastern Chamber,Eastern Chamber,,Not Contacted,
13,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Al-Moayyed International Group,Industrial Spare Parts Distribution,Dammam,Eastern Chamber,Eastern Chamber,,Not Contacted,
14,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,National Supply Co. (NASCO),Industrial & Technical Supplies,Riyadh,MODON,MODON,,Not Contacted,
15,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Rezayat Group,Petroleum & Industrial Spare Parts,Dammam,Aramco Approved,Aramco AVL,rezayat.com,Not Contacted,
